用户名,评论时间,IP属地,点赞数量,评论内容
有丸没丸s,2023.08.30,未知,0,确实不错
Handym,2023.04.07,未知,1,?
吐个泡泡,2023.04.08,未知,2,我也打算要买这家感觉怎么样
凉城独酒,2023.05.03,未知,1,有链接没
用户已注销,2023.07.06,未知,0,@晚晚 这个[飞吻R]
caster,2023.04.12,未知,0,蹲个链接
杨豆花,2023.06.12,未知,0,@儒雅小蒋 [飞吻R]
dovvveee,2023.05.11,未知,0,@N.
々琪琪々,2023.04.08,未知,2,@哈苏评测
?,2023.09.25,未知,0,@ss： 以后要是住民宿酒店俺给宝宝准备一整套会不会好一点捏
Daytoy,2023.06.25,未知,0,@小宇
遇见,2023.06.05,未知,0,四件套感觉怎么样呀
小红薯600AA14A,2023.05.08,未知,0,@她未曾心动 我靠 太需要了
超级敏拉,2023.04.30,未知,0,@火车驶向云外.
西红柿炒西瓜,2023.04.07,未知,0,好齐[萌萌哒R]@南辞
社交恐惧郑?,2023.09.24,未知,10,出趟门要带很多东西[笑哭R]
等等等等等,2023.10.25,未知,3,一次性袜子好穿吗？求推荐牌子
我在人间贩卖黄昏,2023.09.24,未知,4,谢谢姐妹大好人！！！
。,2023.12.22,未知,0,带多大的行李箱啊
Demi ?Ho,2023.12.05,未知,0,2 包相纸够吗[偷笑R][偷笑R][偷笑R]
在眼底呢,2023.12.02,未知,0,姐妹拍得立推一下！！！
嘻嘻,2023.11.25,未知,0,绿色包包求链接[飞吻R]
一个嘤嘤嘤怪,2023.12.05,未知,1,求一次性四件套推荐
n+n,2023.09.30,未知,1,为啥你的衣服那么少[笑哭R]
Annie,2024.01.18,福建,0,酒精消毒纸巾坐飞机能带吗
小熊饼干,2024.02.12,内蒙古,0,@倬老 她的准备和我的思路一模一样
淋雨的熊,2024.02.07,河南,0,一次性四件套是哪家的
在嗦1口粉再睡,2024.01.24,四川,0,衣服你是咋洗的？
郭红书,2024.01.21,北京,0,一次性的东西其实不用带，到地方外卖就可以送
阿毛不想秃头（老来得粲版,2024.01.18,江苏,0,@一二次元人
肥胖&小腹婆,2024.01.15,河南,0,有推荐的一次性床上四件套吗[害羞R]
枫叶逃跑,2023.12.17,未知,0,这也太多了吧
眼眶红红,2023.12.12,未知,0,@洛慕
summer,2023.12.08,未知,1,鞋子好看
思齐,2023.12.02,未知,0,我就只带换洗衣物和护肤品[捂脸R]
叫我大媛媛,2023.11.27,未知,0,化妆棉签有链接吗[萌萌哒R]
Vicky,2023.11.22,未知,0,一次性内裤和浴巾是什么牌子的
兔兔爱图图,2023.10.28,未知,2,决定了 直接带一套平时用的四件套吧[笑哭R]
雷吉娜吃什么？,2023.10.08,未知,1,我居然一个27寸装不下好离谱
龍苶,2023.09.27,未知,0,天啊巨整齐，看得出来姐妹有点洁癖哈哈哈哈我也喜欢带个被套，平时买东西送的小样可以这时候猛猛用[偷笑R]
星河,2023.09.25,未知,0,@玛卡巴卡的日常
社交恐惧郑?,2023.09.24,未知,0,过几天要出去玩，在纠结要带什么鞋
哦呼_,2023.09.24,未知,0,你得多大个行李箱才能装下[笑哭R]
蒋礼貌,2023.09.23,未知,0,[派对R]
奶铁嘀嗒,2023.12.29,未知,0,
阿漫,2023.12.14,未知,357,説實話，很方便，但真的很不環保....，什麼都ㄧ次性，中國那麼多人，每人都這樣用，垃圾都可以堆滿地球了[哭惹R]
叫我懒羊羊吧,2023.12.14,未知,400,感觉没一个是真正做家务人会用得上的，有种“差生文具多”的感觉[笑哭R][笑哭R]
小小学姐,2023.12.17,未知,5,在哪里下单？
熙熙～,2023.12.19,未知,3,没有洗脸巾的链接呀
Lucky,2024.01.10,未知,3,餐步还是实用啊
玖辞HLY,2024.01.01,未知,1,我家有4种
小红薯5D559A01,2024.01.04,未知,2,怎么买
少女浅夏,2023.12.17,未知,5,磁吸对联不怕被人揭下来偷了吗？[黑薯问号R]
刷刷,2024.01.07,未知,2,怎么买啊
平安就好,2023.12.26,未知,1,在哪买
兜米熊,2024.01.06,未知,2,感觉这个桌布挺实用的
卡萝尔百货,2023.12.20,未知,3,已种草
突然暴富,2023.12.14,未知,3,光推荐没有链接
marukojp,2023.12.13,未知,1,香贴在哪买
桥本玲奈,2024.01.10,未知,2,我要链接，一次性马桶刷
脑袋困掉了,2024.01.07,未知,2,一次性束口餐布
阿昭,2023.12.17,未知,2,怎么买到这些小物件
小地瓜,2023.12.21,未知,2,还有那个刷马桶的哪里卖？
興興,2023.12.29,未知,1,怎样下单？
赤裙红黛亦倾心,2024.01.07,未知,1,哪里下单
赤裙红黛亦倾心,2024.01.07,未知,1,在哪里买，有没有链接，下单
小古板才一点也不古板,2024.01.09,未知,1,蹲一个一次性围裙的
小?子,2023.12.13,未知,47,环境说：你是方便了，我就惨咯！
。,2024.01.07,未知,1,马桶刷在哪买
伊人玉,2023.12.28,未知,2,[大笑R][微笑R]
敬,2023.12.28,未知,1,看着挺方便
? JianGuo,2023.12.18,未知,13,国民应该抵制一次性产品，太污染环境了。就为了自己偷懒，让后代生活在无法降解的垃圾中。
Zmy_0896,2024.01.08,未知,1,价格在哪里看
小红薯5BEBD54F,2023.12.13,未知,1,哪可以买了？
小地瓜,2023.12.21,未知,1,洗脸巾哪里卖
又嘶咧了,2024.01.09,未知,1,@妮熊oo
燕子家居好物分享,2024.01.05,未知,1,看起来很好
青草蛋糕,2023.12.14,未知,0,@小猪源源
神仙kt,2024.01.08,未知,1,@Giffoer
momo,2024.01.10,未知,1,杯子买不到？
因言,2023.12.18,未知,1,去污渍湿巾有链接吗
Emma,2023.12.24,未知,0,浪莎一个做袜子的品牌做洗脸巾？你确定不是贴牌[doge]
讨厌小学生??,2024.01.07,未知,1,《平时喜欢做菜，做家务》。。。谁会喜欢[捂脸R][捂脸R]
饮泣浊酒,2024.01.06,未知,0,筷子是尖头的，是不是日本筷子
依依の居家好物精选,2023.12.19,未知,4,有很多东西还是很实用的
爱丽丝家居好物,2024.01.21,辽宁,12,挺实用的，一次性方便的很[偷笑R]
Yan_liyan,2024.01.14,北京,1,一次性烟灰缸都有[石化R][石化R][石化R][石化R]
小红薯65AD8C49,2024.01.21,广东,1,有了这些非常方便[买爆R]
范范,2024.01.20,广东,2,[派对R][派对R][派对R]
悦好,2024.01.23,湖北,1,好用又方便，扔了不心疼
正洁,2024.01.31,辽宁,1,航空杯YYDS
居新觉?居家好物精选,2024.01.20,福建,1,要怎么买
198903,2024.02.02,广东,1,感觉永远都买不够
浅笑安然,2023.12.17,未知,3,哈哈同款筷子?
爱你美美哒,2023.12.13,未知,12,一点也不环保，破坏环境
媚媚好物优选,2024.01.13,未知,1,还不错
权儿哥日用分享,2024.01.26,广东,1,好方便呀
XO-lingling,2024.01.06,未知,7,这所有的东西都是垃圾制造机吧……每次用一次性东西都很有罪恶感
MoMo,2023.12.14,未知,10,太不环保了 一次性的太多
张艳芳,2023.12.14,未知,7,太不环保了，就剩下制造垃圾了
兴艳～带你养发,2023.12.15,未知,7,一次性桌套也可以，过年人多的时候，剥虾啊螃蟹啊骨头啥的都吐桌上，还要擦还有收，有一次性的，吃完直接拉起来就丢
游离花瓣,2023.12.15,未知,4,方便了你家的生活，太污染地球了，
yysphinxyy,2023.12.14,未知,8,这是不环保合集呀[笑哭R][笑哭R]
吴狸,2024.01.06,未知,5,减少一次性产品的使用可以减塑料，保护环境人人有责。加油
李知衡,2023.12.14,未知,4,粘钩，是免打孔的[笑哭R]这不废话吗
梅子有点儿甜,2023.12.17,未知,3,都是塑料制品，不环保
永久勿忘我,2023.12.14,未知,4,你那个是日本筷子吧
?小乔,2023.12.17,未知,2,看完之后发现都是不环保的[笑哭R]
jessiehoo,2023.12.16,未知,3,不环保
Evangel,2023.12.17,未知,3,生产白色垃圾
蝉鸣在夏,2023.12.16,未知,2,你非环保人啊
2喵吖,2023.12.19,未知,8,[捂脸R]一次性马桶刷我用了很一般去污能力，而且容易留下蓝色
郭?伊,2023.12.20,未知,2,制造垃圾吗？
果酱橙?,2023.12.29,未知,2,抵制一次性用品
悦悦百货好物,2024.01.20,四川,1,这个烟灰缸家里有抽烟的人真的很合适[偷笑R]
小红薯5FE7FE20,2024.01.11,未知,1,筷子的话我觉得还是传统筷子比较好，天圆地方也比较有意义。视频里的筷子我家也买过，夹菜的地方太尖了，我觉得它甚至有点像日本的筷子，细尖细尖的。
数科优百货,2024.01.28,河南,1,感觉好用，买来大部分都用不到[笑哭R]
梦君慧享~,2024.01.14,陕西,1,感觉纸杯是不错的
兔八七百货好物,2024.01.16,湖北,6,一次性桌布好实用！
嗨！涵菡?,2024.01.18,甘肃,0,感觉都很好用的样子，赖人具备?[微笑R]
白虎,2024.01.29,广东,0,@佰草集资深BA娜娜 @伟达电工电路 [doge][偷笑R]
袁氏,2024.01.17,广西,0,感觉很适合懒妇啊[偷笑R][偷笑R]
别放弃你的梦继续睡,2024.01.29,广东,0,贴胶倒是挺不错的
默默发光的小林林,2024.01.23,浙江,0,好多东西都是很实用的[偷笑R]
33的枕头,2024.01.11,未知,0,没有一个环保的。。
CHM&饰品,2024.01.19,天津,0,筷子?真不错，设计合理
朱令,2024.01.13,未知,0,不环保
聪聪的小百货,2024.01.13,未知,0,不错不错哦[笑哭R]
Elaine --- ?,2024.01.12,未知,0,下一代可怜了
甜丫日用百货,2024.01.28,上海,0,桌布不错的
小红薯5BF164EE,2024.01.19,四川,0,感觉很实用
Elaine --- ?,2024.01.12,未知,0,请爱护地球！
一路向錢,2024.01.17,上海,0,很实用
鸭鸭居家好物,2024.01.11,未知,0,茶杯材质能反复用吗
好物看看看,2024.01.11,未知,1,这种我觉得可以，毕竟纸杯倒水后很软！
心想事橙,2024.01.11,未知,0,那个一次性桌布我外婆家有一大包 我以为是浴帽来着 拿来洗头发现超大[哭惹R]  后来发现我外婆拿这套桌上我还觉得很变扭[害羞R]
?,2024.01.10,未知,1,又有些垃圾制造者，用了就扔掉
圆圆满满爱分享,2024.01.10,未知,0,好实用
浪淘沙,2024.01.09,未知,1,太不环保了
实用家居小帮手,2024.01.09,未知,0,[点赞R][点赞R][点赞R]优秀啦
鑫欣一次性用品,2024.01.09,未知,1,实用
布灵布灵公主驾到,2024.01.09,未知,0,生活小妙招哈
修心?,2024.01.09,未知,0,@?忆似故人曲? [偷笑R]
慢行,2024.01.09,未知,0,个人真的觉得很不方便
Minnie,2024.01.08,未知,0,@7U 又刷到一个一样的[生气R]
夕夕檬文学,2024.01.08,未知,1,太不环保了。
?饰放你的美??,2024.01.07,未知,0,什么都是一次性的，倒是干净哦，但是吗？造成污染环境。
芯玥日用百货,2024.01.07,未知,1,[点赞R][点赞R][点赞R]
小红薯64D3001B,2024.01.07,未知,0,有些东西真的没必要，除了刺激消费又有什么用呢，精简生活，别弄这么多花里胡哨的了
Enjoy,2024.01.07,未知,0,@Shore
Jane,2024.01.07,未知,0,叫个人来测评一下
艳儿,2024.01.06,未知,1,差生文具多
捣蛋鬼～,2024.01.06,未知,0,筷子是假的
江海,2024.01.05,未知,1,挺好的
farewell,2024.01.05,未知,0,筷子 分开用  洗的时候还是一起洗吧……[笑哭R]
丁小丁,2024.01.04,未知,0,好实用呀！
闲闲,2024.01.02,未知,2,白色垃圾这么多
老黄讲易经,2024.01.02,未知,0,南无阿弥陀佛[合十R][合十R][合十R]
洋洋de日用百货,2024.01.02,未知,0,其实普通人的环保都比不上富人的一天制造[微笑R][微笑R][微笑R]
会花钱の慢生活,2024.01.02,未知,0,[点赞R]
爱画画的锦锦,2024.01.01,未知,0,@婉小莹
小红薯64538758,2024.01.01,未知,1,尽造污染[暗中观察R]
卡蜜拉,2024.01.01,未知,1,还是尽量少用或者不用一次性用品
请叫我小西瓜?,2023.12.31,未知,0,筷子是日式筷子
語,2023.12.29,未知,1,能不能看见的美女帅哥们，都说一句，我在（所属地）祝csy新年快乐
小红薯8425A226,2023.12.29,未知,0,[赞R]
喜美曼小铺,2023.12.29,未知,0,啥，大白菜？
赛赛,2023.12.29,未知,0,方便，但没有质感
财富自由,2023.12.28,未知,0,为了环境，还是少使用一次性的物品吧，坚持低碳出行啊
WeiMei???,2023.12.28,未知,0,[笑哭R]
WeiMei???,2023.12.28,未知,1,[笑哭R]
小石头,2023.12.28,未知,0,制造垃圾！
哈哈挖到宝,2023.12.27,未知,1,一次性的好
L一YAN,2023.12.27,未知,1,全都是不环保的
兰兰好物严选,2023.12.26,未知,1,[赞R][赞R]好用
rimity,2023.12.26,未知,0,没有朋友抽烟，不需要考虑一次性烟灰缸，
jay,2023.12.26,未知,0,@香蕉你个不娜娜.
茉莉,2023.12.25,未知,0,那个分餐筷是日式的，中国传统筷子的头是圆的，它那个是尖的，因为日本人吃饭时用筷子插食物，但中国人用筷子夹食物，插在食物里的是给先祖吃的
暴躁的藕尼酱,2023.12.25,未知,1,前两个的不错
小红薯65837243,2023.12.25,未知,1,一次性杯子真的很好
爱彩带先生的流萤小姐,2023.12.24,未知,0,蔬菜挤水，做酸奶过滤乳清也可以用的吧
一抹玉色,2023.12.23,未知,0,还嫌人类制造的垃圾不够多么
国货好物推荐官,2023.12.22,未知,1,太实用啦！
茯苓囡,2023.12.22,未知,2,请减少使用塑料用品，现在生育率下降与之密切相关！
魔力67000,2023.12.22,未知,1,"廣告看得心塞.....『用了就丟 很方便』 天啊！這樣很不環保, 寧願多花一點錢 或是找可以重複使用的替代產品... 地球暖化都那麼嚴重了, 客人用這些也會有點罪惡感吧。希望廠商可以想出好用 環保的產品出來。"
涵霏儿百货店铺?,2023.12.22,未知,1,每天上一当，当当不一样[哭惹R][哭惹R][哭惹R]
知了,2023.12.21,未知,0,看了没一样想买的
孔雀,2023.12.21,未知,0,@小元宝
生活小侦探,2023.12.21,未知,1,[哇R][哇R][哇R]
Miya阿卡西记录,2023.12.21,未知,0,哇全是不环保的东东，现代人都洁癖了？
等等灵魂,2023.12.21,未知,0,[赞R]
千亦精选百货,2023.12.20,未知,0,经济实用
忆琳物语,2023.12.20,未知,0,实用
呢喃,2023.12.20,未知,1,没有找到围裙
亿佳日用百货,2023.12.20,未知,0,[哇R]
星星点点都有你,2023.12.19,未知,1,[笑哭R]ge
六月爱生活?,2023.12.19,未知,0,一次性杯子好是好，在取的时候不好取，我买了款跟这材质一样的杯子，但在取的时候太不好取了。
陈.,2023.12.19,未知,0,同款筷子
深白色,2023.12.18,未知,1,环保……双碳……
啦啦啦,2023.12.18,未知,0,要过年了[哇R][哇R]
Dearme,2023.12.18,未知,0,那种磁吸贴的对联会被小孩子偷……别问为啥知道
鞠姲姩,2023.12.18,未知,1,尊都假都[害羞R]
吳恬慧?阿恬?Tianhaha,2023.12.18,未知,0,很不环保…
小红薯62F787EE,2023.12.18,未知,0,我有同款筷子。
liu,2023.12.18,未知,0,好想都不太实用呢
猫,2023.12.18,未知,1,去哪下单啊
怡宝,2023.12.18,未知,0,但是，一次性产品不环保
侯峻德好物分享,2023.12.18,未知,1,[点赞R][点赞R][点赞R][点赞R][点赞R]
